fold_id,amp_noise_prior,time_prior,dimension_prior,lambda_corr,pred_corr_mean_L,pred_corr_mean_S,pred_corr_mean_C,pred_corr_std_L,pred_corr_std_S,pred_corr_std_C,mean_abs_pred_corr_over_train_std_L,mean_abs_pred_corr_over_train_std_S,mean_abs_pred_corr_over_train_std_C
2,conservative_amp_noise,long_time,moderate_dims,0.5,-0.001375533089594775,-0.002038824478945171,0.005785629733280467,0.00012839992007876485,0.00045294994937626295,0.0010295642538299273,0.3695884726409897,0.27777930277879426,0.5088925033864277
2,conservative_amp_noise,long_time,moderate_dims,1.0,-0.001375533089594775,-0.002038824478945171,0.005785629733280467,0.00012839992007876485,0.00045294994937626295,0.0010295642538299273,0.3695884726409897,0.27777930277879426,0.5088925033864277
2,moderate_amp_noise,current_time,smooth_dims,0.25,-0.0034916773825997005,-0.004628885693807193,0.03406856993633903,0.0003086282640318669,0.0007976654483960713,0.004001449480495714,0.9381698779563943,0.6306617631615536,2.9966037650095
2,moderate_amp_noise,current_time,smooth_dims,0.5,-0.0034916773825997005,-0.004628885693807193,0.03406856993633903,0.0003086282640318669,0.0007976654483960713,0.004001449480495714,0.9381698779563943,0.6306617631615536,2.9966037650095
2,moderate_amp_noise,current_time,smooth_dims,1.0,-0.0034916773825997005,-0.004628885693807193,0.03406856993633903,0.0003086282640318669,0.0007976654483960713,0.004001449480495714,0.9381698779563943,0.6306617631615536,2.9966037650095
2,moderate_amp_noise,current_time,moderate_dims,0.25,-0.004797155745907343,-0.006626481776870493,0.04677218048375493,0.0004205548755029667,0.001359732808305339,0.0074543944369095585,1.2889355251156855,0.9028239099855208,4.1139881244567755
2,moderate_amp_noise,current_time,moderate_dims,0.5,-0.004797155745907343,-0.006626481776870493,0.04677218048375493,0.0004205548755029667,0.001359732808305339,0.0074543944369095585,1.2889355251156855,0.9028239099855208,4.1139881244567755
2,moderate_amp_noise,current_time,moderate_dims,1.0,-0.004797155745907343,-0.006626481776870493,0.04677218048375493,0.0004205548755029667,0.001359732808305339,0.0074543944369095585,1.2889355251156855,0.9028239099855208,4.1139881244567755
2,moderate_amp_noise,long_time,smooth_dims,0.25,-0.002637141308378986,-0.004006428442169029,0.018953060270674508,0.0002308852527763311,0.0007998811644716696,0.0033491468120254806,0.7085667627155227,0.5458551782126079,1.667073548190685
2,moderate_amp_noise,long_time,smooth_dims,0.5,-0.002637141308378986,-0.004006428442169029,0.018953060270674508,0.0002308852527763311,0.0007998811644716696,0.0033491468120254806,0.7085667627155227,0.5458551782126079,1.667073548190685
