fold_id,amp_noise_prior,time_prior,dimension_prior,factor,ell_L_dm_t,ell_S_dm_t,ell_C_dm_t,ell_dL_t,ell_dS_t,ell_dC_t,ell_time,alpha_factor,sigma_factor,map_objective,optimizer_success,best_restart_name,final_jitter,n_train,pathology_flag
1,moderate_amp_noise,long_time,smooth_dims,S,2.7060232724526974,2.7698835546785983,2.523039444190729,2.2042561813119566,2.2368203122411567,2.2147475072028224,2.2118713514521136,0.10178953984193131,0.9898692811015093,-909.1483397179876,True,moderate,1e-06,214,none
1,moderate_amp_noise,long_time,smooth_dims,C,2.7060232724526974,2.7698835546785983,2.523039444190729,2.2042561813119566,2.2368203122411567,2.2147475072028224,2.2118713514521136,0.10849603291645782,0.9873695264872997,-909.1483397179876,True,moderate,1e-06,214,none
1,moderate_amp_noise,long_time,moderate_dims,L,2.2022488861508362,2.2838105002128226,2.0158043224609803,1.7215473935582646,1.76194640006903,1.7265363945553203,2.230517061903515,0.0960412992109282,0.9914329839701823,-909.766126411076,True,prior_median,1e-06,214,none
1,moderate_amp_noise,long_time,moderate_dims,S,2.2022488861508362,2.2838105002128226,2.0158043224609803,1.7215473935582646,1.76194640006903,1.7265363945553203,2.230517061903515,0.10525694483203965,0.9883245974286257,-909.766126411076,True,prior_median,1e-06,214,none
1,moderate_amp_noise,long_time,moderate_dims,C,2.2022488861508362,2.2838105002128226,2.0158043224609803,1.7215473935582646,1.76194640006903,1.7265363945553203,2.230517061903515,0.1114927256122415,0.9860258839984135,-909.766126411076,True,prior_median,1e-06,214,none
2,conservative_amp_noise,current_time,smooth_dims,L,2.7337321614140735,2.767955819655037,2.7084583799376043,2.209265411096815,2.243148253926299,2.2490553676938796,1.2093635827733888,0.058441400143937484,0.9962243110314049,-1162.2401496079851,True,shrink_to_noise,1e-06,274,none
2,conservative_amp_noise,current_time,smooth_dims,S,2.7337321614140735,2.767955819655037,2.7084583799376043,2.209265411096815,2.243148253926299,2.2490553676938796,1.2093635827733888,0.059151931239441166,0.9959246185009847,-1162.2401496079851,True,shrink_to_noise,1e-06,274,none
2,conservative_amp_noise,current_time,smooth_dims,C,2.7337321614140735,2.767955819655037,2.7084583799376043,2.209265411096815,2.243148253926299,2.2490553676938796,1.2093635827733888,0.072867496558253,0.9885533957278417,-1162.2401496079851,True,shrink_to_noise,1e-06,274,none
2,conservative_amp_noise,current_time,moderate_dims,L,2.2376369943542214,2.281015599097711,2.209288267991746,1.7218938698652566,1.7600877353878355,1.7632220417976014,1.2212837901143416,0.05924635442108518,0.9957319536841531,-1163.1022523325362,True,conservative,1e-06,274,none
2,conservative_amp_noise,current_time,moderate_dims,S,2.2376369943542214,2.281015599097711,2.209288267991746,1.7218938698652566,1.7600877353878355,1.7632220417976014,1.2212837901143416,0.05978855563971132,0.995496652100758,-1163.1022523325362,True,conservative,1e-06,274,none
2,conservative_amp_noise,current_time,moderate_dims,C,2.2376369943542214,2.281015599097711,2.209288267991746,1.7218938698652566,1.7600877353878355,1.7632220417976014,1.2212837901143416,0.07235271502468489,0.9888457521633126,-1163.1022523325362,True,conservative,1e-06,274,none
2,conservative_amp_noise,long_time,smooth_dims,L,2.72548553396085,2.739205646354544,2.70795372361186,2.2046486566508503,2.2364509612577237,2.2290595311487524,2.0988693926933326,0.058694803705246344,0.9961199898587955,-1162.7021522307505,True,time_sensitive,1e-06,274,none
2,conservative_amp_noise,long_time,smooth_dims,S,2.72548553396085,2.739205646354544,2.70795372361186,2.2046486566508503,2.2364509612577237,2.2290595311487524,2.0988693926933326,0.05937148535455919,0.9958384275065908,-1162.7021522307505,True,time_sensitive,1e-06,274,none
2,conservative_amp_noise,long_time,smooth_dims,C,2.72548553396085,2.739205646354544,2.70795372361186,2.2046486566508503,2.2364509612577237,2.2290595311487524,2.0988693926933326,0.06776738337389195,0.9913930592626248,-1162.7021522307505,True,time_sensitive,1e-06,274,none
2,conservative_amp_noise,long_time,moderate_dims,L,2.227919466420978,2.2461530405545442,2.2027250330442825,1.7187150190027638,1.7449654693209096,1.7388630182581597,2.136159282493878,0.059592548616223984,0.9955469608034268,-1163.4852173296226,True,moderate,1e-06,274,none
2,conservative_amp_noise,long_time,moderate_dims,S,2.227919466420978,2.2461530405545442,2.2027250330442825,1.7187150190027638,1.7449654693209096,1.7388630182581597,2.136159282493878,0.05999126063592825,0.9954349966834466,-1163.4852173296226,True,moderate,1e-06,274,none
