obs,panel_month,actual_quote_date,exact_calendar_first_of_month,M3,M6,M9,M12,M15,M18,M21,M24,M30,M36,M48,M60,M72,M84,M96,M108,M120
1986M05,1986-05,1986-05-01,True,6.2373371397172885,6.318605554355827,6.4101519229354285,6.464393943327808,6.656442164828904,6.795994985482383,6.873748188154716,6.720773861124425,7.050426611773453,7.155967588038238,7.32449020933242,7.438463549672941,7.495544659524909,7.442403771804851,7.563285000271644,7.502562658881246,7.315129343452885
1986M06,1986-06,1986-06-02,False,6.495052835778406,6.658558536411786,6.768049657965775,6.905643793052219,7.114589376055784,7.263253414966951,7.314583749426713,7.389827479056918,7.698302493086401,7.782635461336797,8.246774871597989,8.065263660684222,8.417868720448697,8.401532816055326,8.326325273212964,8.442466317977292,8.127285864436793
1986M07,1986-07,1986-07-01,True,6.10873075744928,6.088250021932446,6.245635844308599,6.350350697228007,6.574298562624746,6.645974742366765,6.71781120213993,6.763131687133134,7.061142950206166,7.148545796000649,7.4404248966932265,7.474308529114426,7.555876877055757,7.52089180981325,7.629885394120654,7.6033070205008215,7.57032310356875
1986M08,1986-08,1986-08-01,True,5.885178912648696,5.942345950126428,6.041126852012783,6.16044221011673,6.304800887500115,6.396699556987169,6.508507932910781,6.445052861685431,6.800409850326786,7.024096650779193,7.164300872612419,7.429528030627276,7.392772521086672,7.264746485829389,7.55353567528895,7.566902525120837,7.219057208552049
1986M09,1986-09,1986-09-02,False,5.246029403996222,5.320236488307052,5.367995607064026,5.505541736534916,5.621515029726327,5.815644655500418,5.976298891065893,5.919037796857882,6.193634707125257,6.258920815443093,6.628813340034237,6.60452046118457,6.922265619785938,7.037556042109415,7.114477713618019,7.146847628105291,6.98341103928654
1986M10,1986-10,1986-10-01,True,5.297803149177654,5.52334059833201,5.679059664558276,5.73262098409879,5.990406895763169,6.1316307084482355,6.279269806316689,6.294710997770797,6.59337743791701,6.687782512692811,7.075724033325097,7.28636228531099,7.3473790496781,7.435917378395245,7.507039388619928,7.525643296939631,7.358249559356987
1986M11,1986-11,1986-11-03,False,5.31093578877658,5.429974878115626,5.592168389743886,5.6628487621560915,5.8878765515927824,5.99665069732285,6.0630528832920545,6.111116177850864,6.319926148025338,6.477751319089994,6.721648451836461,7.056984803304564,7.162425439144046,7.173389865189357,7.348583787185498,7.357961804686278,7.293031754206529
1986M12,1986-12,1986-12-01,True,5.507884801404913,5.597002300476714,5.658772182284196,5.740322054983007,5.929850635722054,6.003342858292514,6.102477295687094,6.158305783039505,6.2892623899130875,6.402596211274221,6.647131238207889,6.668618954546414,7.009893330974934,7.146557022740872,7.259336147749584,7.240398649695458,7.110688558993095
1987M01,1987-01,1987-01-02,False,5.654864258175583,5.704450390815068,5.768086931237689,5.830745935542493,6.111717402725381,6.163321279429603,6.252816614225259,6.257559316216889,6.403309855379899,6.456037689692451,6.605162745536947,6.86121850782578,6.996890890323533,7.1444257592006775,7.233762890773382,7.234343077204308,7.1224290785472615
1987M02,1987-02,1987-02-02,False,5.716061883252751,5.753490081384342,5.839888531287373,5.926627936389024,6.104369234721059,6.171957715410923,6.191212983226084,6.272467704255344,6.397605799772685,6.497057066015463,6.691516935440889,6.938621147918936,6.966696801048573,7.002413906267482,7.20804671412596,7.2664767338246605,7.197476833370067
