date,panel_month,calendar_month_start,actual_quote_date,exact_calendar_first_of_month,calendar_days_after_month_start,n_raw,n_pass1,n_pass2,n_pass3,n_pass4,y3,y6,y9,y12,y15,y18,y21,y24,y30,y36,y48,y60,y72,y84,y96,y108,y120
2013-11-01,2013-11,2013-11-01,2013-11-01,True,0,266,266,266,266,266,0.00040585392231160097,0.00082361290149358,0.0007265996783387512,0.001300112808026698,0.0019155588883647487,0.002241122518604293,0.0027307718295305327,0.0031892189745144515,0.004528799803013727,0.006341512630957583,0.010361136276502057,0.013849598659183195,0.01729070170693294,0.02065961194898877,0.023565443722794253,0.025786689017718672,0.027686269740516155
2013-12-02,2013-12,2013-12-01,2013-12-02,False,1,268,268,268,268,268,0.000671312517509822,0.001022998187393615,0.0009134378171685024,0.0013358349589013953,0.0020452059394749683,0.002176127660100934,0.002504263016941257,0.002887814458518136,0.004120970969852297,0.005968173500661907,0.01034975126932847,0.014212660010374314,0.018439757382264183,0.02198849708537993,0.024875655772440653,0.02737768442605799,0.029180945040674405
2014-01-02,2014-01,2014-01-01,2014-01-02,False,1,270,270,270,270,270,0.0006572684564005425,0.0008902232552742316,0.0007374763048412853,0.0012982939251971037,0.0020395493384452127,0.0024042303936177723,0.0030599370582793718,0.003906447951523871,0.00556813573504495,0.007940614534969328,0.012978361008416492,0.017367574311312143,0.02119097719358547,0.024766269603925965,0.02727707513005404,0.02953110417136055,0.031222577185121912
2014-02-03,2014-02,2014-02-01,2014-02-03,False,2,271,271,271,271,271,0.00037867646210328987,0.0006251543403705946,0.000744727243029059,0.0010071649354773165,0.0016747273032792593,0.0019920046505410797,0.002397140765181262,0.003005475699910813,0.004651562172585062,0.0067041657374538,0.010927199260667764,0.014593946322726753,0.017977919243830458,0.021061255530333275,0.023507622286076096,0.02552364023860226,0.027086345414331324
2014-03-03,2014-03,2014-03-01,2014-03-03,False,2,272,272,272,272,272,0.00043507157620471137,0.0007778476050860472,0.0008887942039325331,0.0012023728268074853,0.0016518164451942603,0.0017988630635881007,0.002440856213206636,0.003020089369673345,0.004753869167034045,0.006874122512873838,0.011135415043315762,0.014830949355292583,0.018349921347389414,0.021238986563569446,0.02345766910525995,0.025549740166427994,0.027029192100507353
2014-04-01,2014-04,2014-04-01,2014-04-01,True,0,273,273,273,273,273,0.000395437046985183,0.0006142801786593122,0.0008115218434221463,0.0012155211839396307,0.0017792578208909436,0.0022880571846821437,0.0033671287303135176,0.004355853193494526,0.006706080096134177,0.009166303132451693,0.013868946655129322,0.017543185921352095,0.020957265232888427,0.023655733548818475,0.025602898257227908,0.027252083974793836,0.02853718485941042
2014-05-01,2014-05,2014-05-01,2014-05-01,True,0,274,274,274,274,274,0.00022715535129181897,0.00043124440625827453,0.0006554565829102804,0.0010052753139676686,0.001540941911327324,0.0021910179776959077,0.0030155111120953124,0.00409079831159555,0.006396194272242626,0.008743958972639295,0.013249924684744655,0.016785416169926414,0.019853524275406084,0.022557182717139756,0.024373112485587614,0.025946402955534024,0.02715951526293711
2014-06-02,2014-06,2014-06-01,2014-06-02,False,1,276,276,276,276,276,0.0002849089101654976,0.0005025994477160405,0.0006756738793474216,0.000992518821232511,0.0015619367726058824,0.0022492438563022966,0.0029618993872886083,0.0038861182728787613,0.006103013286100333,0.00844322698412883,0.012705252571362242,0.016089972222716922,0.01901049506703765,0.021550558343858592,0.023296413344718568,0.02485611873733578,0.02603091507924034
2014-07-01,2014-07,2014-07-01,2014-07-01,True,0,277,277,277,277,277,0.00024844521416625,0.0005834705178523532,0.0005562119518029287,0.0011854948936931196,0.0018176989273969413,0.0026425850843468687,0.0036059972592311505,0.004701255705174996,0.006833462448113096,0.00916041491721202,0.013447180485684456,0.01681700032856275,0.019590278800131186,0.022089530583660043,0.023739526988712133,0.025268601266585915,0.0265255063576993
2014-08-01,2014-08,2014-08-01,2014-08-01,True,0,277,277,277,277,277,0.00025841007147486947,0.0004176535420584825,0.0005704301366285151,0.0013352656987824158,0.0019627467111508726,0.0026424028991076636,0.003692834611391293,0.0048474303584084485,0.007136184425421684,0.009679125050531229,0.014141822054352412,0.016911166916832494,0.01946486919625425,0.02188748991984578,0.023355697488046143,0.024700187165278317,0.025868130929309317
